,Description,Year,Variable,variable,value
430,Study,2014,International Economics,Alumni,259
431,Study,2014,International/Global Studies,Alumni,253
432,Study,2014,Law,Alumni,231
433,Study,2014,Banking and Financial Support Services,Alumni,194
434,Study,2014,Corporate Finance,Alumni,188
435,Study,2015,Accounting and Finance,Alumni,"1,753"
436,Study,2015,Economics,Alumni,"1,356"
437,Study,2015,"Business Administration and Management, General",Alumni,"1,264"
438,Study,2015,Information Technology,Alumni,760
439,Study,2015,Management Sciences and Quantitative Methods,Alumni,595
440,Study,2015,Marketing,Alumni,573
441,Study,2015,Project Management,Alumni,533
442,Study,2015,International Business,Alumni,476
443,Study,2015,Data Processing and Data Processing Technology/Technician,Alumni,338
444,Study,2015,"Finance, General",Alumni,332
445,Study,2015,"Marketing/Marketing Management, General",Alumni,268
446,Study,2015,International/Global Studies,Alumni,245
447,Study,2015,Law,Alumni,233
448,Study,2015,International Economics,Alumni,212
449,Study,2015,"Business/Commerce, General",Alumni,192
450,Study,2016,Accounting and Finance,Alumni,"1,642"
451,Study,2016,Economics,Alumni,"1,416"
452,Study,2016,"Business Administration and Management, General",Alumni,"1,269"
453,Study,2016,Information Technology,Alumni,774
454,Study,2016,Management Sciences and Quantitative Methods,Alumni,601
455,Study,2016,Marketing,Alumni,591
456,Study,2016,Project Management,Alumni,579
457,Study,2016,"Finance, General",Alumni,491
458,Study,2016,International Business,Alumni,460
459,Study,2016,Data Processing and Data Processing Technology/Technician,Alumni,403
460,Study,2016,International Business/Trade/Commerce,Alumni,332
461,Study,2016,"Marketing/Marketing Management, General",Alumni,264
462,Study,2016,International/Global Studies,Alumni,263
463,Study,2016,Law,Alumni,257
464,Study,2016,Accounting,Alumni,193
465,Study,2017,Accounting and Finance,Alumni,"1,440"
466,Study,2017,Economics,Alumni,"1,268"
467,Study,2017,"Business Administration and Management, General",Alumni,"1,263"
468,Study,2017,Information Technology,Alumni,695
469,Study,2017,Management Sciences and Quantitative Methods,Alumni,567
470,Study,2017,Project Management,Alumni,539
471,Study,2017,Marketing,Alumni,530
472,Study,2017,Data Processing and Data Processing Technology/Technician,Alumni,508
473,Study,2017,"Finance, General",Alumni,450
474,Study,2017,International Business,Alumni,437
475,Study,2017,International Business/Trade/Commerce,Alumni,301
476,Study,2017,"Business/Commerce, General",Alumni,261
477,Study,2017,Law,Alumni,256
478,Study,2017,"Marketing/Marketing Management, General",Alumni,217
479,Study,2017,International/Global Studies,Alumni,210
480,Study,2018,Accounting and Finance,Alumni,"1,226"
481,Study,2018,Economics,Alumni,"1,173"
482,Study,2018,"Business Administration and Management, General",Alumni,"1,120"
483,Study,2018,Information Technology,Alumni,651
484,Study,2018,Data Processing and Data Processing Technology/Technician,Alumni,565
485,Study,2018,Marketing,Alumni,516
486,Study,2018,Project Management,Alumni,515
487,Study,2018,Management Sciences and Quantitative Methods,Alumni,500
488,Study,2018,"Finance, General",Alumni,419
489,Study,2018,International Business,Alumni,413
490,Study,2018,International Business/Trade/Commerce,Alumni,306
491,Study,2018,Law,Alumni,254
492,Study,2018,"Business/Commerce, General",Alumni,244
493,Study,2018,International/Global Studies,Alumni,180
494,Study,2018,"Marketing/Marketing Management, General",Alumni,171
495,Study,2019,Accounting and Finance,Alumni,"1,055"
496,Study,2019,Economics,Alumni,"1,004"
497,Study,2019,"Business Administration and Management, General",Alumni,927
498,Study,2019,Information Technology,Alumni,539
