,Description,Year,Variable,variable,value
214,Position,2012,Arts and Design,Alumni,505
215,Position,2012,Program and Project Management,Alumni,442
216,Position,2012,Sales,Alumni,401
217,Position,2012,Research,Alumni,354
218,Position,2012,Finance,Alumni,295
219,Position,2012,Education,Alumni,253
220,Position,2012,Consulting,Alumni,184
221,Position,2012,Administrative,Alumni,172
222,Position,2012,Quality Assurance,Alumni,172
223,Position,2012,Support,Alumni,151
224,Position,2012,Marketing,Alumni,130
225,Position,2013,Engineering,Alumni,"2,281"
226,Position,2013,Information Technology,Alumni,"1,089"
227,Position,2013,Operations,Alumni,918
228,Position,2013,Business Development,Alumni,792
229,Position,2013,Arts and Design,Alumni,463
230,Position,2013,Program and Project Management,Alumni,461
231,Position,2013,Sales,Alumni,447
232,Position,2013,Research,Alumni,337
233,Position,2013,Finance,Alumni,304
234,Position,2013,Education,Alumni,270
235,Position,2013,Administrative,Alumni,197
236,Position,2013,Support,Alumni,191
237,Position,2013,Consulting,Alumni,180
238,Position,2013,Quality Assurance,Alumni,165
239,Position,2013,Marketing,Alumni,138
240,Position,2014,Engineering,Alumni,"2,286"
241,Position,2014,Information Technology,Alumni,"1,048"
242,Position,2014,Operations,Alumni,971
243,Position,2014,Business Development,Alumni,746
244,Position,2014,Arts and Design,Alumni,510
245,Position,2014,Program and Project Management,Alumni,432
246,Position,2014,Sales,Alumni,422
247,Position,2014,Research,Alumni,348
248,Position,2014,Finance,Alumni,304
249,Position,2014,Education,Alumni,282
250,Position,2014,Administrative,Alumni,220
251,Position,2014,Support,Alumni,182
252,Position,2014,Consulting,Alumni,170
253,Position,2014,Quality Assurance,Alumni,168
254,Position,2014,Marketing,Alumni,147
255,Position,2015,Engineering,Alumni,"2,314"
256,Position,2015,Information Technology,Alumni,"1,134"
257,Position,2015,Operations,Alumni,971
258,Position,2015,Business Development,Alumni,729
259,Position,2015,Arts and Design,Alumni,478
260,Position,2015,Sales,Alumni,415
261,Position,2015,Program and Project Management,Alumni,408
262,Position,2015,Finance,Alumni,335
263,Position,2015,Research,Alumni,328
264,Position,2015,Education,Alumni,324
265,Position,2015,Support,Alumni,215
266,Position,2015,Administrative,Alumni,196
267,Position,2015,Marketing,Alumni,169
268,Position,2015,Consulting,Alumni,166
269,Position,2015,Quality Assurance,Alumni,158
270,Position,2016,Engineering,Alumni,"2,265"
271,Position,2016,Information Technology,Alumni,"1,045"
272,Position,2016,Operations,Alumni,867
273,Position,2016,Business Development,Alumni,666
274,Position,2016,Arts and Design,Alumni,473
275,Position,2016,Program and Project Management,Alumni,363
276,Position,2016,Sales,Alumni,335
277,Position,2016,Education,Alumni,319
278,Position,2016,Research,Alumni,306
279,Position,2016,Finance,Alumni,286
280,Position,2016,Administrative,Alumni,217
281,Position,2016,Support,Alumni,201
282,Position,2016,Quality Assurance,Alumni,167
283,Position,2016,Consulting,Alumni,164
284,Position,2016,Marketing,Alumni,156
285,Position,2017,Engineering,Alumni,"2,174"
286,Position,2017,Information Technology,Alumni,958
287,Position,2017,Operations,Alumni,839
288,Position,2017,Business Development,Alumni,593
289,Position,2017,Arts and Design,Alumni,394
290,Position,2017,Sales,Alumni,342
291,Position,2017,Program and Project Management,Alumni,306
292,Position,2017,Education,Alumni,301
293,Position,2017,Research,Alumni,293
294,Position,2017,Finance,Alumni,281
295,Position,2017,Administrative,Alumni,196
296,Position,2017,Support,Alumni,177
297,Position,2017,Consulting,Alumni,159
298,Position,2017,Quality Assurance,Alumni,156
299,Position,2017,Marketing,Alumni,130
300,Position,2018,Engineering,Alumni,"2,069"
301,Position,2018,Information Technology,Alumni,866
302,Position,2018,Operations,Alumni,748
303,Position,2018,Business Development,Alumni,512
304,Position,2018,Arts and Design,Alumni,384
305,Position,2018,Education,Alumni,298
306,Position,2018,Research,Alumni,277
307,Position,2018,Sales,Alumni,258
308,Position,2018,Program and Project Management,Alumni,236
309,Position,2018,Finance,Alumni,234
310,Position,2018,Administrative,Alumni,179
311,Position,2018,Support,Alumni,159
312,Position,2018,Quality Assurance,Alumni,124
313,Position,2018,Consulting,Alumni,120
314,Position,2018,Media and Communication,Alumni,116
315,Position,2019,Engineering,Alumni,"1,738"
316,Position,2019,Information Technology,Alumni,718
317,Position,2019,Operations,Alumni,618
318,Position,2019,Business Development,Alumni,415
319,Position,2019,Arts and Design,Alumni,360
320,Position,2019,Education,Alumni,284
321,Position,2019,Research,Alumni,263
322,Position,2019,Sales,Alumni,237
323,Position,2019,Program and Project Management,Alumni,210
324,Position,2019,Finance,Alumni,206
325,Position,2019,Administrative,Alumni,173
326,Position,2019,Support,Alumni,158
327,Position,2019,Quality Assurance,Alumni,119
328,Position,2019,Consulting,Alumni,109
329,Position,2019,Media and Communication,Alumni,99
330,Position,2020,Engineering,Alumni,"1,420"
331,Position,2020,Information Technology,Alumni,609
332,Position,2020,Operations,Alumni,518
333,Position,2020,Business Development,Alumni,319
334,Position,2020,Arts and Design,Alumni,286
335,Position,2020,Education,Alumni,254
336,Position,2020,Research,Alumni,198
337,Position,2020,Finance,Alumni,161
338,Position,2020,Program and Project Management,Alumni,155
339,Position,2020,Sales,Alumni,148
340,Position,2020,Administrative,Alumni,129
341,Position,2020,Support,Alumni,126
342,Position,2020,Quality Assurance,Alumni,85
343,Position,2020,Community and Social Services,Alumni,85
344,Position,2020,Consulting,Alumni,74
345,Position,2021,Engineering,Alumni,667
346,Position,2021,Information Technology,Alumni,260
347,Position,2021,Operations,Alumni,227
348,Position,2021,Business Development,Alumni,162
349,Position,2021,Arts and Design,Alumni,143
350,Position,2021,Education,Alumni,132
351,Position,2021,Research,Alumni,87
352,Position,2021,Administrative,Alumni,75
353,Position,2021,Sales,Alumni,61
354,Position,2021,Finance,Alumni,56
355,Position,2021,Program and Project Management,Alumni,56
356,Position,2021,Support,Alumni,44
357,Position,2021,Quality Assurance,Alumni,42
358,Position,2021,Community and Social Services,Alumni,41
359,Position,2021,Media and Communication,Alumni,37
360,Study,2010,Computer Science,Alumni,527
361,Study,2010,Information Technology,Alumni,501
362,Study,2010,"Business Administration and Management, General",Alumni,327
363,Study,2010,"Mechatronics, Robotics, and Automation Engineering",Alumni,290
364,Study,2010,Project Management,Alumni,226
365,Study,2010,Electrical and Electronics Engineering,Alumni,211
366,Study,2010,Computer Systems Networking and Telecommunications,Alumni,204
367,Study,2010,Electronics,Alumni,203
368,Study,2010,Economics,Alumni,159
369,Study,2010,Mechanical Engineering,Alumni,153
370,Study,2010,Architecture,Alumni,146
371,Study,2010,Computer Engineering,Alumni,146
372,Study,2010,Civil Engineering,Alumni,143
373,Study,2010,"Design and Visual Communications, General",Alumni,141
374,Study,2010,Engineering,Alumni,136
375,Study,2011,Computer Science,Alumni,492
376,Study,2011,Information Technology,Alumni,463
377,Study,2011,"Business Administration and Management, General",Alumni,311
378,Study,2011,Project Management,Alumni,286
379,Study,2011,"Mechatronics, Robotics, and Automation Engineering",Alumni,281
380,Study,2011,Computer Systems Networking and Telecommunications,Alumni,194
381,Study,2011,Electrical and Electronics Engineering,Alumni,191
382,Study,2011,Electronics,Alumni,190
383,Study,2011,Mechanical Engineering,Alumni,181
384,Study,2011,Economics,Alumni,161
385,Study,2011,Computer Engineering,Alumni,150
386,Study,2011,Architecture,Alumni,136
387,Study,2011,Engineering,Alumni,133
388,Study,2011,Marketing,Alumni,113
389,Study,2011,Transportation and Materials Moving,Alumni,108
390,Study,2012,Computer Science,Alumni,586
391,Study,2012,Information Technology,Alumni,442
392,Study,2012,"Mechatronics, Robotics, and Automation Engineering",Alumni,308
393,Study,2012,"Business Administration and Management, General",Alumni,284
394,Study,2012,Project Management,Alumni,249
395,Study,2012,Electrical and Electronics Engineering,Alumni,244
396,Study,2012,Engineering,Alumni,204
397,Study,2012,Computer Systems Networking and Telecommunications,Alumni,184
398,Study,2012,Electronics,Alumni,181
399,Study,2012,Economics,Alumni,172
400,Study,2012,Mechanical Engineering,Alumni,168
401,Study,2012,Architecture,Alumni,164
402,Study,2012,Computer Engineering,Alumni,160
403,Study,2012,Civil Engineering,Alumni,154
404,Study,2012,Transportation and Materials Moving,Alumni,153
405,Study,2013,Computer Science,Alumni,572
406,Study,2013,Information Technology,Alumni,399
407,Study,2013,"Mechatronics, Robotics, and Automation Engineering",Alumni,339
408,Study,2013,"Business Administration and Management, General",Alumni,304
409,Study,2013,Electrical and Electronics Engineering,Alumni,276
410,Study,2013,Project Management,Alumni,245
411,Study,2013,Mechanical Engineering,Alumni,182
412,Study,2013,Electronics,Alumni,178
413,Study,2013,Engineering,Alumni,168
414,Study,2013,Economics,Alumni,168
415,Study,2013,Civil Engineering,Alumni,162
416,Study,2013,Computer Engineering,Alumni,159
417,Study,2013,Computer Systems Networking and Telecommunications,Alumni,157
418,Study,2013,Architecture,Alumni,151
419,Study,2013,Power Engineering,Alumni,151
420,Study,2014,Computer Science,Alumni,525
421,Study,2014,Information Technology,Alumni,369
422,Study,2014,"Mechatronics, Robotics, and Automation Engineering",Alumni,357
423,Study,2014,"Business Administration and Management, General",Alumni,310
424,Study,2014,Electrical and Electronics Engineering,Alumni,281
425,Study,2014,Project Management,Alumni,233
426,Study,2014,Mechanical Engineering,Alumni,218
427,Study,2014,Civil Engineering,Alumni,213
428,Study,2014,Engineering,Alumni,201
429,Study,2014,Computer Systems Networking and Telecommunications,Alumni,180
430,Study,2014,Power Engineering,Alumni,166
431,Study,2014,Electronics,Alumni,163
432,Study,2014,Transportation and Materials Moving,Alumni,158
433,Study,2014,Architecture,Alumni,156
434,Study,2014,Economics,Alumni,147
435,Study,2015,Computer Science,Alumni,583
436,Study,2015,Information Technology,Alumni,398
437,Study,2015,"Mechatronics, Robotics, and Automation Engineering",Alumni,315
438,Study,2015,Electrical and Electronics Engineering,Alumni,286
439,Study,2015,"Business Administration and Management, General",Alumni,270
440,Study,2015,Mechanical Engineering,Alumni,245
441,Study,2015,Project Management,Alumni,216
442,Study,2015,Engineering,Alumni,205
443,Study,2015,Power Engineering,Alumni,184
444,Study,2015,Civil Engineering,Alumni,180
445,Study,2015,Electronics,Alumni,169
446,Study,2015,Transportation and Materials Moving,Alumni,168
447,Study,2015,Computer Systems Networking and Telecommunications,Alumni,160
448,Study,2015,"Aerospace, Aeronautical and Astronautical/Space Engineering",Alumni,157
449,Study,2015,Architecture,Alumni,147
450,Study,2016,Computer Science,Alumni,604
451,Study,2016,Information Technology,Alumni,361
452,Study,2016,"Mechatronics, Robotics, and Automation Engineering",Alumni,337
453,Study,2016,Electrical and Electronics Engineering,Alumni,306
454,Study,2016,Mechanical Engineering,Alumni,259
455,Study,2016,"Business Administration and Management, General",Alumni,229
456,Study,2016,Engineering,Alumni,222
457,Study,2016,Project Management,Alumni,191
458,Study,2016,Civil Engineering,Alumni,165
459,Study,2016,Power Engineering,Alumni,165
460,Study,2016,Transportation and Materials Moving,Alumni,160
461,Study,2016,International/Global Studies,Alumni,145
462,Study,2016,Economics,Alumni,142
463,Study,2016,Computer Systems Networking and Telecommunications,Alumni,135
464,Study,2016,"Design and Visual Communications, General",Alumni,132
465,Study,2017,Computer Science,Alumni,594
466,Study,2017,Information Technology,Alumni,363
467,Study,2017,"Mechatronics, Robotics, and Automation Engineering",Alumni,327
468,Study,2017,Electrical and Electronics Engineering,Alumni,309
469,Study,2017,Mechanical Engineering,Alumni,252
470,Study,2017,Engineering,Alumni,234
471,Study,2017,"Business Administration and Management, General",Alumni,226
472,Study,2017,Economics,Alumni,165
473,Study,2017,Data Processing and Data Processing Technology/Technician,Alumni,160
474,Study,2017,Project Management,Alumni,149
475,Study,2017,Civil Engineering,Alumni,144
476,Study,2017,Electronics,Alumni,143
477,Study,2017,International/Global Studies,Alumni,142
478,Study,2017,Power Engineering,Alumni,138
479,Study,2017,Transportation and Materials Moving,Alumni,135
480,Study,2018,Computer Science,Alumni,600
481,Study,2018,Information Technology,Alumni,350
482,Study,2018,Electrical and Electronics Engineering,Alumni,339
483,Study,2018,"Mechatronics, Robotics, and Automation Engineering",Alumni,300
484,Study,2018,Mechanical Engineering,Alumni,241
485,Study,2018,Engineering,Alumni,201
486,Study,2018,"Business Administration and Management, General",Alumni,200
487,Study,2018,Data Processing and Data Processing Technology/Technician,Alumni,177
488,Study,2018,Transportation and Materials Moving,Alumni,177
489,Study,2018,Data Science,Alumni,163
490,Study,2018,"Engineering Technology, General",Alumni,142
491,Study,2018,Economics,Alumni,136
492,Study,2018,Project Management,Alumni,136
493,Study,2018,Power Engineering,Alumni,124
494,Study,2018,Civil Engineering,Alumni,117
495,Study,2019,Computer Science,Alumni,567
496,Study,2019,Information Technology,Alumni,313
497,Study,2019,"Mechatronics, Robotics, and Automation Engineering",Alumni,286
498,Study,2019,Electrical and Electronics Engineering,Alumni,263
499,Study,2019,Mechanical Engineering,Alumni,208
500,Study,2019,"Business Administration and Management, General",Alumni,196
501,Study,2019,Data Science,Alumni,176
502,Study,2019,Engineering,Alumni,169
503,Study,2019,Data Processing and Data Processing Technology/Technician,Alumni,167
504,Study,2019,"Engineering Technology, General",Alumni,132
505,Study,2019,Transportation and Materials Moving,Alumni,130
506,Study,2019,Economics,Alumni,129
507,Study,2019,Project Management,Alumni,112
508,Study,2019,Civil Engineering,Alumni,110
509,Study,2019,Electronics,Alumni,102
510,Study,2020,Computer Science,Alumni,518
511,Study,2020,Information Technology,Alumni,246
512,Study,2020,"Mechatronics, Robotics, and Automation Engineering",Alumni,229
513,Study,2020,Electrical and Electronics Engineering,Alumni,203
514,Study,2020,Mechanical Engineering,Alumni,173
515,Study,2020,Data Science,Alumni,161
516,Study,2020,Data Processing and Data Processing Technology/Technician,Alumni,139
517,Study,2020,Engineering,Alumni,123
518,Study,2020,"Business Administration and Management, General",Alumni,112
519,Study,2020,"Engineering Technology, General",Alumni,106
520,Study,2020,Transportation and Materials Moving,Alumni,103
521,Study,2020,Project Management,Alumni,94
522,Study,2020,Economics,Alumni,92
523,Study,2020,Civil Engineering,Alumni,91
524,Study,2020,Power Engineering,Alumni,88
525,Study,2021,Computer Science,Alumni,300
526,Study,2021,"Mechatronics, Robotics, and Automation Engineering",Alumni,119
527,Study,2021,Information Technology,Alumni,99
528,Study,2021,Electrical and Electronics Engineering,Alumni,72
529,Study,2021,Data Science,Alumni,72
530,Study,2021,Mechanical Engineering,Alumni,61
531,Study,2021,"Engineering Technology, General",Alumni,52
532,Study,2021,Data Processing and Data Processing Technology/Technician,Alumni,46
533,Study,2021,Transportation and Materials Moving,Alumni,45
534,Study,2021,Mathematics,Alumni,38
535,Study,2021,Project Management,Alumni,37
536,Study,2021,Civil Engineering,Alumni,34
537,Study,2021,Power Engineering,Alumni,34
538,Study,2021,Electronics,Alumni,33
539,Study,2021,"Business Administration and Management, General",Alumni,28
540,Skill,2010,Microsoft Office,Alumni,"1,984"
541,Skill,2010,Project Management,Alumni,"1,667"
542,Skill,2010,AutoCAD,Alumni,"1,272"
543,Skill,2010,Microsoft Excel,Alumni,"1,252"
544,Skill,2010,SQL,Alumni,"1,229"
545,Skill,2010,Management,Alumni,928
546,Skill,2010,Java,Alumni,895
547,Skill,2010,Git,Alumni,752
548,Skill,2010,Engineering,Alumni,723
549,Skill,2010,C++,Alumni,715
550,Skill,2010,English,Alumni,684
551,Skill,2010,Python (Programming Language),Alumni,671
552,Skill,2010,JavaScript,Alumni,663
553,Skill,2010,Linux,Alumni,638
554,Skill,2010,Teamwork,Alumni,632
555,Skill,2011,Microsoft Office,Alumni,"2,206"
556,Skill,2011,Project Management,Alumni,"1,699"
557,Skill,2011,Microsoft Excel,Alumni,"1,455"
558,Skill,2011,AutoCAD,Alumni,"1,375"
559,Skill,2011,SQL,Alumni,"1,245"
560,Skill,2011,Java,Alumni,920
561,Skill,2011,Management,Alumni,908
562,Skill,2011,Git,Alumni,819
563,Skill,2011,Teamwork,Alumni,771
564,Skill,2011,English,Alumni,769
565,Skill,2011,C++,Alumni,764
